X1,X2,cc,r,h2
0.701701478113568,0.702639896294671,0,0.5,0.2
0.878925272878302,0.869337008282569,1,0.5,0.2
0.889615019423082,0.897177726702486,2,0.5,0.2
0.87795328006397,0.874516042731218,3,0.5,0.2
0.871351094689743,0.869925912785429,4,0.5,0.2
0.871794031203156,0.862193503446022,5,0.5,0.2
0.865286785468005,0.869890483162863,6,0.5,0.2
0.783358015628301,0.783430055123958,20,0.5,0.2
0.74754411309071,0.748443740494926,30,0.5,0.2
0.710120229177444,0.711427012245891,40,0.5,0.2
0.675734034624596,0.675842052893312,0,0.5,0.15
0.850612218813014,0.842125876375255,1,0.5,0.15
0.862813984505668,0.858809900619427,2,0.5,0.15
0.84892976162846,0.847227054105763,3,0.5,0.15
0.840699166623994,0.836544665695814,4,0.5,0.15
0.836686943669618,0.840370638407503,5,0.5,0.15
0.823784555063941,0.835012750707131,6,0.5,0.15
0.761727807557014,0.759892667265613,20,0.5,0.15
0.725024646559687,0.726501453468614,30,0.5,0.15
0.683933096369026,0.685353559820408,40,0.5,0.15
0.641153518180511,0.640402191369916,0,0.5,0.1
0.804099443266908,0.792697892791841,1,0.5,0.1
0.809304681045187,0.807250780826559,2,0.5,0.1
0.798228587787751,0.795527601030048,3,0.5,0.1
0.784245620202948,0.784841982326697,4,0.5,0.1
0.777908309502494,0.77939262556064,5,0.5,0.1
0.77957827955969,0.781372529799017,6,0.5,0.1
0.728231128098796,0.721811011360296,20,0.5,0.1
0.688536552278396,0.691561750746548,30,0.5,0.1
0.649034979462194,0.650206319926048,40,0.5,0.1
