X1,X2,cc,r,h2
0.699859059582213,0.701060032849342,0,0.5,0.2
0.893237507532439,0.903955749187823,1,0.5,0.2
0.88936992509209,0.895264447336143,2,0.5,0.2
0.88742686301557,0.893618916026443,3,0.5,0.2
0.883105844200486,0.884082129221337,4,0.5,0.2
0.873377138062918,0.869002436868309,5,0.5,0.2
0.856865474303116,0.853472708111054,6,0.5,0.2
0.748618169078151,0.759012050069909,20,0.5,0.2
0.712005109976888,0.706355314932733,30,0.5,0.2
0.678045928537662,0.669130374410628,40,0.5,0.2
0.673537324793338,0.673506416333793,0,0.5,0.15
0.872065489081267,0.874849863968571,1,0.5,0.15
0.862561252647496,0.848985919023865,2,0.5,0.15
0.861112895540358,0.849875304428445,3,0.5,0.15
0.85222705928328,0.8473738862491,4,0.5,0.15
0.853896422561592,0.839848338742351,5,0.5,0.15
0.829702845856472,0.831751622880227,6,0.5,0.15
0.732502707097125,0.714560254244373,20,0.5,0.15
0.685313834092524,0.685528637793282,30,0.5,0.15
0.659040012737727,0.655748486548971,40,0.5,0.15
0.63916948314395,0.636903012191459,0,0.5,0.1
0.811719919386199,0.802914076773694,1,0.5,0.1
0.799638381988655,0.787196594253772,2,0.5,0.1
0.80289754340512,0.779938056436859,3,0.5,0.1
0.796872819782539,0.789855194230608,4,0.5,0.1
0.801573104264224,0.78122939698066,5,0.5,0.1
0.787870655436822,0.767834745582194,6,0.5,0.1
0.66423011241985,0.654049822104205,20,0.5,0.1
0.647064697627904,0.644524548080997,30,0.5,0.1
0.634500641109988,0.63602328675123,40,0.5,0.1
