n1,n2,g,r11,r12,r21,prop_uncorrelated,h2,threshold,ld,k11,k12,k21,k22,ALG1,ALG2,ALG4,mash,metasoft,hteqtl
800,800,30,0.3,0.3,0.2,0,0.3,0.96,0,7,3,3,7,0.8276237900631,0.849660269225259,0.877346011634643,0.824045411878443,0.770898933164388,0.816473640225118
800,800,30,0.35,0.35,0.2,0,0.3,0.96,0,7,3,3,7,0.827771230325713,0.859678667968637,0.887749804507775,0.843603919215619,0.79097157154193,0.822387725246321
800,800,30,0.4,0.4,0.2,0,0.3,0.96,0,7,3,3,7,0.827864824909372,0.863862338311291,0.894168628435252,0.849510033070347,0.797946002577748,0.825107371689216
800,800,30,0.45,0.45,0.2,0,0.3,0.96,0,7,3,3,7,0.828352458073778,0.873612813292791,0.911583746035426,0.869848027506897,0.818349479158305,0.837178784365728
800,800,30,0.5,0.5,0.2,0,0.3,0.96,0,7,3,3,7,0.828484538237522,0.876155544544255,0.915695838476955,0.876045048665677,0.825362412879648,0.842679627869244
800,800,30,0.55,0.55,0.2,0,0.3,0.96,0,7,3,3,7,0.826499024577966,0.878997111284063,0.917025778155487,0.877055112323639,0.829562529828631,0.847082505231797
800,800,30,0.6,0.6,0.2,0,0.3,0.96,0,7,3,3,7,0.826030436803397,0.884502113986694,0.927247530857155,0.890196839674087,0.841906781481292,0.856931946161062
800,800,30,0.65,0.65,0.2,0,0.3,0.96,0,7,3,3,7,0.825801527000442,0.888693566509426,0.932825402085498,0.893515402558345,0.848059812688182,0.862152653377951
